,Review,Liked,aspect_category
68,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,negative,B000E7VI7S
69,A great way to finish a great.,positive,B000E7VI7S
70,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",positive,B001GVISJC
71,"- Really, really good rice, all the time.",positive,B001GVISJC
72,The service was meh.,negative,B006SQBRMA
73,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",negative,B0059WXJKM
74,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",negative,B001EPPI84
75,The scallop dish is quite appalling for value as well.,negative,B001EPPI84
76,2 times - Very Bad Customer Service !,negative,B004X2KR36
77,The sweet potato fries were very good and seasoned well.,positive,B004X2KR36
78,Today is the second time I've been to their lunch buffet and it was pretty good.,positive,B004X2KR36
79,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,negative,B005R8JE8O
80,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,negative,B0066DMI6Y
81,walked in and the place smelled like an old grease trap and only 2 others there eating.,negative,B0066DMI6Y
82,The turkey and roast beef were bland.,negative,B003ZFRKGO
83,This place has it!,positive,B0019CW0HE
84,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,negative,B0019CW0HE
85,I love the Pho and the spring rolls oh so yummy you have to try.,positive,B0019CW0HE
86,The poor batter to meat ratio made the chicken tenders very unsatisfying.,negative,B0019CW0HE
87,All I have to say is the food was amazing!!!,positive,B0019CW0HE
88,Omelets are to die for!,positive,B0019CW0HE
89,Everything was fresh and delicious!,positive,B0019CW0HE
90,"In summary, this was a largely disappointing dining experience.",negative,B0019CW0HE
91,"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",positive,B0019CW0HE
92,"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",negative,B0019CW0HE
93,Best breakfast buffet!!!,positive,B0019CW0HE
94,say bye bye to your tip lady!,negative,B0019CW0HE
95,We'll never go again.,negative,B0019CW0HE
96,Will be back again!,positive,B0019CW0HE
97,Food arrived quickly!,positive,B0019CW0HE
98,It was not good.,negative,B0019CW0HE
99,"On the up side, their cafe serves really good food.",positive,B0019CW0HE
100,"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",positive,B004K2IHUO
101,"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",positive,B004K2IHUO
102,"Best Buffet in town, for the price you cannot beat it.",positive,B004K2IHUO
103,"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",positive,B004K2IHUO
104,This is one of the better buffets that I have been to.,positive,B004K2IHUO
105,So we went to Tigerlilly and had a fantastic afternoon!,positive,B004K2IHUO
106,"The food was delicious, our bartender was attentive and personable AND we got a great deal!",positive,B004K2IHUO
107,The ambience is wonderful and there is music playing.,positive,B001REEG6C
108,Will go back next trip out.,positive,B001REEG6C
109,Sooooo good!!,positive,B001REEG6C
110,"REAL sushi lovers, let's be honest - Yama is not that good.",negative,B000J0HIT2
111,"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",negative,B0037LW78C
112,This is a really fantastic Thai restaurant which is definitely worth a visit.,positive,B0037LW78C
113,"Nice, spicy and tender.",positive,B0037LW78C
114,Good prices.,positive,B0037LW78C
115,Check it out.,positive,B0037LW78C
116,It was pretty gross!,negative,B0026Y3YBK
117,I've had better atmosphere.,negative,B0026Y3YBK
118,Kind of hard to mess up a steak but they did.,negative,B003SE19UK
119,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",negative,B003SE19UK
120,I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,negative,B003SE19UK
121,"Worst service to boot, but that is the least of their worries.",negative,B003SE19UK
122,Service was fine and the waitress was friendly.,positive,B003SE19UK
123,"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",positive,B003SE19UK
124,"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",positive,B003SE19UK
125,"Host staff were, for lack of a better word, BITCHES!",negative,B003SE19UK
126,Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,negative,B003SE19UK
127,"Phenomenal food, service and ambiance.",positive,B003OB0IB8
128,I wouldn't return.,negative,B003OB0IB8
129,"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",positive,B003OB0IB8
130,This place is way too overpriced for mediocre food.,negative,B003OB0IB8
131,Penne vodka excellent!,positive,B003OB0IB8
132,"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",positive,B003OB0IB8
133,The management is rude.,negative,B003OB0IB8
134,"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",positive,B003OB0IB8
135,"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",positive,B003OB0IB8
136,I had a seriously solid breakfast here.,positive,B002SRYRE8
137,This is one of the best bars with food in Vegas.,positive,B002SRYRE8
138,"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",negative,B002SRYRE8
139,My drink was never empty and he made some really great menu suggestions.,positive,B002SRYRE8
140,Don't do it!!!!,negative,B001GVISJW
141,The waiter wasn't helpful or friendly and rarely checked on us.,negative,B001GVISJW
142,My husband and I ate lunch here and were very disappointed with the food and service.,negative,B001GVISJW
143,And the red curry had so much bamboo shoots and wasn't very tasty to me.,negative,B001GVISJW
144,Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,positive,B001GVISJW
145,The bathrooms are clean and the place itself is well decorated.,positive,B0017I8UME
146,"The menu is always changing, food quality is going down & service is extremely slow.",negative,B0017I8UME
147,"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",negative,B0017I8UME
148,I give it 2 thumbs down,negative,B0064KU9HO
149,We watched our waiter pay a lot more attention to other tables and ignore us.,negative,B0037ZFEW4
150,My fiancé and I came in the middle of the day and we were greeted and seated right away.,positive,B00374XSVY
151,This is a great restaurant at the Mandalay Bay.,positive,B00374XSVY
152,We waited for forty five minutes in vain.,negative,B005P0HHGK
153,Crostini that came with the salad was stale.,negative,B002HQAXUW
154,Some highlights : Great quality nigiri here!,positive,B000SV90J8
155,the staff is friendly and the joint is always clean.,positive,B000SV90J8
156,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,positive,B0036VM05I
157,I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,positive,B0036VM05I
158,this place is good.,positive,B000ITVLE2
159,"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",negative,B000ITVLE2
160,I came back today since they relocated and still not impressed.,negative,B000ITVLE2
161,I was seated immediately.,positive,B000ITVLE2
162,"Their menu is diverse, and reasonably priced.",positive,B000ITVLE2
163,Avoid at all cost!,negative,B000ITVLE2
164,Restaurant is always full but never a wait.,positive,B000ITVLE2
165,DELICIOUS!!,positive,B003TQQKFQ
166,This place is hands-down one of the best places to eat in the Phoenix metro area.,positive,B003TQQKFQ
167,So don't go there if you are looking for good food...,negative,B007B9J6G2
168,I've never been treated so bad.,negative,B0064KO0BU
169,Bacon is hella salty.,positive,B0064KO0BU
170,"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",negative,B0064KO0BU
171,"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",positive,B001IUKD76
172,The waitresses are very friendly.,positive,B001IUKD76
173,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",positive,B0081XN2HQ
174,Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,positive,B0025VRCJY
175,"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",negative,B0025VRCJY
176,The service here leaves a lot to be desired.,negative,B0025VRCJY
177,"The atmosphere is modern and hip, while maintaining a touch of coziness.",positive,B0025VRCJY
178,"Not a weekly haunt, but definitely a place to come back to every once in a while.",positive,B0025VRCJY
179,We literally sat there for 20 minutes with no one asking to take our order.,negative,B005CJVVJ8
180,"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",negative,B005CJVVJ8
181,I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,negative,B005CJVVJ8
182,I dressed up to be treated so rudely!,negative,B005CJVVJ8
183,It was probably dirt.,negative,B001KUUNP6
184,"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",positive,B001KUUNP6
185,I ordered the Lemon raspberry ice cocktail which was also incredible.,positive,B001KUUNP6
186,"The food sucked, which we expected but it sucked more than we could have imagined.",negative,B000NY8ODS
187,Interesting decor.,positive,B00029XIZI
188,What I really like there is the crepe station.,positive,B004V6AH34
189,"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",positive,B004V6AH34
190,you can watch them preparing the delicious food!),positive,B004V6AH34
191,Both of the egg rolls were fantastic.,positive,B004V6AH34
192,"When my order arrived, one of the gyros was missing.",negative,B004V6AH34
193,"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",positive,B0028C44Z0
194,I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,negative,B0028C44Z0
195,The best place to go for a tasty bowl of Pho!,positive,B0028C44Z0
196,The live music on Fridays totally blows.,negative,B0028C44Z0
197,I've never been more insulted or felt disrespected.,negative,B0028C44Z0
198,Very friendly staff.,positive,B0028C44Z0
199,It is worth the drive.,positive,B0028C44Z0
200,"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",positive,B0028C44Z0
201,Food was great and so was the serivce!,positive,B0028C44Z0
202,The warm beer didn't help.,negative,B0028C44Z0
203,Great brunch spot.,positive,B0028C44Z0
204,Service is friendly and inviting.,positive,B0028C44Z0
205,Very good lunch spot.,positive,B0028C44Z0
206,I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,negative,B0028C44Z0
207,The WORST EXPERIENCE EVER.,negative,B0028C44Z0
208,Must have been an off night at this place.,negative,B0028C44Z0
209,"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",positive,B0009XLVGA
210,"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",negative,B0009XLVGA
211,"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",negative,B0009XLVGA
212,My friend loved the salmon tartar.,positive,B0009XLVGA
213,Won't go back.,negative,B0009XLVGA
214,Extremely Tasty!,positive,B002TDK0VK
215,Waitress was good though!,positive,B002TDK0VK
216,Soggy and not good.,negative,B002TDK0VK
217,The Jamaican mojitos are delicious.,positive,B0040WAG7Q
218,Which are small and not worth the price.,negative,B001EO5ZMO
219,- the food is rich so order accordingly.,positive,B001EO5ZMO
220,"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",negative,B001EO5ZMO
221,The service was a bit lacking.,negative,B001EO5ZMO
222,"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",negative,B001EO5ZMO
223,Hopefully this bodes for them going out of business and someone who can cook can come in.,negative,B001EO5ZMO
224,"It was either too cold, not enough flavor or just bad.",negative,B001EO5ZMO
225,I loved the bacon wrapped dates.,positive,B001SATU8E
226,This is an unbelievable BARGAIN!,positive,B007JFV6RK
227,The folks at Otto always make us feel so welcome and special.,positive,B007JFV6RK
228,"As for the ""mains,"" also uninspired.",negative,B007JFV6RK
229,This is the place where I first had pho and it was amazing!!,positive,B001L4ELRW
230,This wonderful experience made this place a must-stop whenever we are in town again.,positive,B003SO503C
231,"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",negative,B003SO503C
232,Very very fun chef.,positive,B003ZFXJDW
233,"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",negative,B003ZFXJDW
234,Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,positive,B003ZFXJDW
235,"If it were possible to give them zero stars, they'd have it.",negative,B001HTL6CY
236,"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",negative,B000WFRMRW
237,"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",positive,B000WFRMRW
238,If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,negative,B001EO5ZME
239,"Everyone is very attentive, providing excellent customer service.",positive,B0093NIWVO
240,Horrible - don't waste your time and money.,negative,B001EO5ZMY
241,Now this dish was quite flavourful.,positive,B001EO5ZMY
242,By this time our side of the restaurant was almost empty so there was no excuse.,negative,B001EO5ZMY
243,"(It wasn't busy either) Also, the building was FREEZING cold.",negative,B001EO5ZMY
244,"like the other reviewer said ""you couldn't pay me to eat at this place again.""",negative,B001EO5ZMY
245,-Drinks took close to 30 minutes to come out at one point.,negative,B001EO5ZMY
246,"Seriously flavorful delights, folks.",positive,B007TFONH0
247,Much better than the other AYCE sushi place I went to in Vegas.,positive,B007TFONH0
248,The lighting is just dark enough to set the mood.,positive,B007TFONH0
249,Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,negative,B000GGKQSO
250,Owner's are really great people.!,positive,B007J32WX4
251,There is nothing privileged about working/eating there.,negative,B0017129DC
252,The Greek dressing was very creamy and flavorful.,positive,B0002567IW
253,"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",negative,B0048IC328
254,Now the pizza itself was good the peanut sauce was very tasty.,positive,B0048IC328
255,We had 7 at our table and the service was pretty fast.,positive,B0048IC328
256,Fantastic service here.,positive,B0025WIAN0
257,I as well would've given godfathers zero stars if possible.,negative,B00821UN4M
258,They know how to make them here.,positive,B00821UN4M
259,very tough and very short on flavor!,negative,B00473RWXY
260,I hope this place sticks around.,positive,B002MV23XM
261,"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",negative,B002MV23XM
262,The restaurant atmosphere was exquisite.,positive,B000LKZK7C
263,"Good service, very clean, and inexpensive, to boot!",positive,B000LKZK7C
264,The seafood was fresh and generous in portion.,positive,B000LKZK7C
265,"Plus, it's only 8 bucks.",positive,B000LKZK7C
266,"The service was not up to par, either.",negative,B000LKZK7C
267,"Thus far, have only visited twice and the food was absolutely delicious each time.",positive,B000LKZK7C
268,Just as good as when I had it more than a year ago!,positive,B000LKZK7C
269,"For a self proclaimed coffee cafe, I was wildly disappointed.",negative,B000LKZK7C
270,The Veggitarian platter is out of this world!,positive,B000LKZK7C
271,You cant go wrong with any of the food here.,positive,B000LKZK7C
272,You can't beat that.,positive,B000LKZK7C
273,"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",positive,B000LKZK7C
274,The chefs were friendly and did a good job.,positive,B000LKZK7C
275,"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",negative,B000LKZK7C
276,I liked the patio and the service was outstanding.,positive,B000LKZK7C
277,The goat taco didn't skimp on the meat and wow what FLAVOR!,positive,B001D07IPG
278,I think not again,negative,B001D07IPG
279,I had the mac salad and it was pretty bland so I will not be getting that again.,negative,B001D07IPG
280,I went to Bachi Burger on a friend's recommendation and was not disappointed.,positive,B001D07IPG
281,Service stinks here!,negative,B001D07IPG
282,I waited and waited.,negative,B001D07IPG
283,"This place is not quality sushi, it is not a quality restaurant.",negative,B000H13270
284,I would definitely recommend the wings as well as the pizza.,positive,B000H13270
285,Great Pizza and Salads!,positive,B000H13270
286,Things that went wrong: - They burned the saganaki.,negative,B000H13270
287,We waited an hour for what was a breakfast I could have done 100 times better at home.,negative,B001UJEN6C
288,This place is amazing!,positive,B001UJEN6C
289,"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",negative,B001UJEN6C
290,Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,negative,B001UJEN6C
291,Just don't know why they were so slow.,negative,B001UJEN6C
292,"The staff is great, the food is delish, and they have an incredible beer selection.",positive,B001UJEN6C
293,"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",negative,B001UJEN6C
294,I didn't know pulled pork could be soooo delicious.,positive,B001UJEN6C
295,"You get incredibly fresh fish, prepared with care.",positive,B001UJEN6C
296,Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,negative,B001UJEN6C
297,I love the fact that everything on their menu is worth it.,positive,B001UJEN6C
298,Never again will I be dining at this place!,negative,B001UJEN6C
299,The food was excellent and service was very good.,positive,B001UJEN6C
300,Good beer & drink selection and good food selection.,positive,B001UJEN6C
301,Please stay away from the shrimp stir fried noodles.,negative,B001UJEN6C
302,The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,negative,B001UJEN6C
303,Food was really boring.,negative,B001UJEN6C
304,Good Service-check!,positive,B001UJEN6C
305,This greedy corporation will NEVER see another dime from me!,negative,B001UJEN6C
306,"Will never, ever go back.",negative,B003EMU7EU
307,"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",negative,B0064KOUNI
308,"In the summer, you can dine in a charming outdoor patio - so very delightful.",positive,B003YDP5PA
309,I did not expect this to be so good!,positive,B003YDP5PA
310,Fantastic food!,positive,B003YDP5PA
311,She ordered a toasted English muffin that came out untoasted.,negative,B003YDP5PA
312,The food was very good.,positive,B002X9JNYU
313,Never going back.,negative,B001EPQ0J0
314,"Great food for the price, which is very high quality and house made.",positive,B001EPQ0J0
315,The bus boy on the other hand was so rude.,negative,B001EPQ0J0
316,"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",negative,B000O9Y62A
317,"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",positive,B000O9Y62A
318,"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",positive,B00283TPYE
319,All the bread is made in-house!,positive,B001FB69YY
320,The only downside is the service.,negative,B004OYBN7C
321,"Also, the fries are without a doubt the worst fries I've ever had.",negative,B000JEHAHS
322,Service was exceptional and food was a good as all the reviews.,positive,B000JEHAHS
323,"A couple of months later, I returned and had an amazing meal.",positive,B000JEHAHS
324,Favorite place in town for shawarrrrrrma!!!!!!,positive,B000JEHAHS
325,The black eyed peas and sweet potatoes... UNREAL!,positive,B003VTN95K
326,You won't be disappointed.,positive,B003VTN95K
327,"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",positive,B003VTN95K
328,"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",negative,B003VTN95K
329,When my mom and I got home she immediately got sick and she only had a few bites of salad.,negative,B003VTN95K
330,The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,negative,B003VTN95K
331,"Both of them were truly unbelievably good, and I am so glad we went back.",positive,B007DJ0O9I
332,"We had fantastic service, and were pleased by the atmosphere.",positive,B007DJ0O9I
333,Everything was gross.,negative,B00469VSJI
334,I love this place.,positive,B00469VSJI
335,Great service and food.,positive,B00469VSJI
336,First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,negative,B002SRAU80
337,"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",negative,B0067LDV66
338,"OMG, the food was delicioso!",positive,B0067LDV66
339,There is nothing authentic about this place.,negative,B000HKYP9A
340,the spaghetti is nothing special whatsoever.,negative,B000HKYP9A
341,"Of all the dishes, the salmon was the best, but all were great.",positive,B000HKYP9A
342,The vegetables are so fresh and the sauce feels like authentic Thai.,positive,B000HKYP9A
343,It's worth driving up from Tucson!,positive,B000HKYP9A
344,The selection was probably the worst I've seen in Vegas.....there was none.,negative,B000HKYP9A
345,Pretty good beer selection too.,positive,B000HKYP9A
346,"This place is like Chipotle, but BETTER.",positive,B000HKYP9A
347,"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",positive,B00067AD4U
348,5 stars for the brick oven bread app!,positive,B00067AD4U
349,"I have eaten here multiple times, and each time the food was delicious.",positive,B00067AD4U
350,We sat another ten minutes and finally gave up and left.,negative,B00067AD4U
351,He was terrible!,negative,B0029OWDAU
352,Everyone is treated equally special.,positive,B000SEJ84M
353,It shouldn't take 30 min for pancakes and eggs.,negative,B001LMNXFA
354,It was delicious!!!,positive,B001LMNXFA
355,"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",positive,B002J2DO8W
356,"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",negative,B000U9V5AU
357,As always the evening was wonderful and the food delicious!,positive,B001SB099M
358,Best fish I've ever had in my life!,positive,B0041QJSJS
359,(The bathroom is just next door and very nice.),positive,B0041QJSJS
360,The buffet is small and all the food they offered was BLAND.,negative,B0041QJSJS
361,This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,positive,B0041QJSJS
362,Pretty cool I would say.,positive,B0041QJSJS
363,Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,negative,B00437JI8Q
364,Server did a great job handling our large rowdy table.,positive,B00437JI8Q
365,"I find wasting food to be despicable, but this just wasn't food.",negative,B00437JI8Q
366,My wife had the Lobster Bisque soup which was lukewarm.,negative,B00437JI8Q
367,Would come back again if I had a sushi craving while in Vegas.,positive,B00437JI8Q
368,"The staff are great, the ambiance is great.",positive,B002O3VHXU
369,He deserves 5 stars.,positive,B002O3VHXU
370,I left with a stomach ache and felt sick the rest of the day.,negative,B002O3VHXU
371,They dropped more than the ball.,negative,B002O3VHXU
372,"The dining space is tiny, but elegantly decorated and comfortable.",positive,B002O3VHXU
373,"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",positive,B002O3VHXU
374,And the beans and rice were mediocre at best.,negative,B0057FTBYO
375,Best tacos in town by far!!,positive,B0087HW5E2
376,I took back my money and got outta there.,negative,B003YXWAF8
377,"In an interesting part of town, this place is amazing.",positive,B003YXWAF8
378,RUDE & INCONSIDERATE MANAGEMENT.,negative,B003YXWAF8
379,"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",negative,B003YXWAF8
380,I won't be back.,negative,B003YXWAF8
381,They have great dinners.,positive,B003YXWAF8
382,The service was outshining & I definitely recommend the Halibut.,positive,B000UXA3L8
383,The food was terrible.,negative,B000UXA3L8
384,WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,negative,B004AVYUOW
385,I don't recommend unless your car breaks down in front of it and you are starving.,negative,B001ESOQAM
386,I will come back here every time I'm in Vegas.,positive,B001ESOQAM
387,This place deserves one star and 90% has to do with the food.,negative,B001ESOQAM
388,This is a disgrace.,negative,B001ESOQAM
389,Def coming back to bowl next time,positive,B001ESOQA2
390,"If you want healthy authentic or ethic food, try this place.",positive,B003XT4AV0
391,I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.,positive,B003XT4AV0
392,"I have been here several times in the past, and the experience has always been great.",positive,B001FA1MCO
393,We walked away stuffed and happy about our first Vegas buffet experience.,positive,B001FA1MCO
394,Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,positive,B001ELL6O8
395,"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",positive,B001ELL6O8
